Time(s)	I(VDD)	V(107)
4.31e-08	-7.48972e-09	-0.000118332
4.32e-08	-4.42854e-08	-0.000119529
4.33e-08	-7.07481e-09	-0.000120746
4.34e-08	-4.38741e-08	-0.000121973
4.35e-08	-6.69132e-09	-0.000123221
4.36e-08	-4.34931e-08	-0.000124479
4.37e-08	-6.33701e-09	-0.000125758
4.38e-08	-4.31401e-08	-0.000127049
4.39e-08	-6.32594e-09	-0.000128185
4.4e-08	-5.67365e-08	-0.000121614
4.41e-08	-5.34189e-08	-9.02197e-05
4.42e-08	-1.44337e-07	-1.62692e-05
4.43e-08	-1.81867e-07	0.000114797
4.44e-08	-3.13899e-07	0.000315121
4.45e-08	-3.92863e-07	0.00059496
4.46e-08	-5.66578e-07	0.00096315
4.47e-08	-6.87527e-07	0.00142742
4.48e-08	-9.03457e-07	0.00199469
4.49e-08	-1.06691e-06	0.00267125
4.5e-08	-1.32555e-06	0.00346294
4.51e-08	-1.53198e-06	0.00437527
4.52e-08	-1.8338e-06	0.00541355
4.53e-08	-2.08366e-06	0.00658294
4.54e-08	-2.42909e-06	0.00788856
4.55e-08	-2.72279e-06	0.00933548
4.56e-08	-3.11223e-06	0.0109288
4.57e-08	-3.45015e-06	0.0126739
4.58e-08	-3.88395e-06	0.0145758
4.59e-08	-4.26643e-06	0.0166403
4.6e-08	-4.74491e-06	0.0188727
4.61e-08	-5.17226e-06	0.0212791
4.62e-08	-5.69572e-06	0.0238655
4.63e-08	-6.1682e-06	0.0266381
4.64e-08	-6.73686e-06	0.0296036
4.65e-08	-7.25469e-06	0.0327687
4.66e-08	-7.86878e-06	0.0361408
4.67e-08	-8.43214e-06	0.0397274
4.68e-08	-9.0918e-06	0.0435363
4.69e-08	-9.70082e-06	0.0475761
4.7e-08	-1.04062e-05	0.0518553
4.71e-08	-1.10609e-05	0.0563834
4.72e-08	-1.1812e-05	0.0611702
4.73e-08	-1.25126e-05	0.066226
4.74e-08	-1.33094e-05	0.0715618
4.75e-08	-1.40557e-05	0.0771892
4.76e-08	-1.48983e-05	0.0831208
4.77e-08	-1.56903e-05	0.0893697
4.78e-08	-1.65784e-05	0.09595
4.79e-08	-1.74159e-05	0.102877
4.8e-08	-1.83494e-05	0.110166
4.81e-08	-1.92322e-05	0.117835
4.82e-08	-2.02109e-05	0.125902
4.83e-08	-2.11387e-05	0.134387
4.84e-08	-2.21622e-05	0.143311
4.85e-08	-2.31346e-05	0.152698
4.86e-08	-2.42024e-05	0.162573
4.87e-08	-2.5219e-05	0.172962
4.88e-08	-2.63306e-05	0.183896
4.89e-08	-2.73908e-05	0.195405
4.9e-08	-2.85455e-05	0.207526
4.91e-08	-2.96483e-05	0.220297
4.92e-08	-3.08454e-05	0.233759
4.93e-08	-3.19901e-05	0.247959
4.94e-08	-3.32284e-05	0.262949
4.95e-08	-3.44138e-05	0.278785
4.96e-08	-3.56921e-05	0.295529
4.97e-08	-3.69168e-05	0.313254
4.98e-08	-3.82336e-05	0.332036
4.99e-08	-3.94959e-05	0.351966
5e-08	-4.08493e-05	0.373143
5.01e-08	-4.2147e-05	0.395681
5.02e-08	-4.35345e-05	0.419709
5.03e-08	-4.4865e-05	0.445377
5.04e-08	-4.62835e-05	0.472854
5.05e-08	-4.76431e-05	0.502341
5.06e-08	-4.90885e-05	0.534068
5.07e-08	-5.04725e-05	0.56831
5.08e-08	-5.19432e-05	0.604948
5.09e-08	-5.33497e-05	0.644104
5.1e-08	-5.48385e-05	0.686155
5.11e-08	-5.62633e-05	0.731085
5.12e-08	-5.77689e-05	0.778882
5.13e-08	-5.9209e-05	0.829529
5.14e-08	-6.07364e-05	0.88301
5.15e-08	-6.22228e-05	0.939309
5.16e-08	-6.38295e-05	0.998407
5.17e-08	-6.54243e-05	1.06029
5.18e-08	-6.71634e-05	1.12493
