Time(s)	V(102)	I(VDD)
4.88	4.96221	-0.000377946
4.89	4.96258	-0.000374185
4.9	4.96295	-0.000370462
4.91	4.96332	-0.000366775
4.92	4.96369	-0.000363126
4.93	4.96405	-0.000359513
4.94	4.96441	-0.000355936
4.95	4.96476	-0.000352394
4.96	4.96511	-0.000348887
4.97	4.96546	-0.000345416
4.98	4.9658	-0.000341979
4.99	4.96614	-0.000338576
5	4.96648	-0.000335207
